dataset,detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,num_seeds_total,num_seeds_valid,num_seeds_invalid,num_seeds,threshold_mode,threshold_calibration_method,auroc_mean,auroc_std,auroc_median,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_median,auprc_min,auprc_max,best_point_f1_mean,best_point_f1_std,best_point_f1_median,best_point_f1_min,best_point_f1_max,event_precision_mean,event_precision_std,event_precision_median,event_precision_min,event_precision_max,event_recall_mean,event_recall_std,event_recall_median,event_recall_min,event_recall_max,event_f1_mean,event_f1_std,event_f1_median,event_f1_min,event_f1_max,false_positive_events_mean,false_positive_events_std,false_positive_events_median,false_positive_events_min,false_positive_events_max,num_synthetic_windows_mean,num_synthetic_points_mean,num_rejected_synthetic_windows_mean,metrics_valid_partial,metrics_valid_all
TSB-UAD-Public-v2,cnn,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.07922565774322525,0.04238384745019975,0.07651461838653957,0.01959349135746861,0.1518365915665819,0.10388886857492363,0.15709404489033252,0.03424657534246575,0.0,0.4166666666666667,0.09817628682711203,0.11111149114476043,0.03496503496503497,0.0,0.2978723404255319,0.04129411327297748,0.027962769461546494,0.04048582995951417,0.0,0.07799442896935933,214.6,228.81311151243057,141.0,1.0,619.0,88.4,3011.2,0.0,False,True
TSB-UAD-Public-v2,cnn,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.049078195337284684,0.0635639002614757,0.0021344717182497333,0.0,0.1580547112462006,0.1563386524822695,0.25747905902075524,0.02127659574468085,0.0,0.6666666666666666,0.006580475599167188,0.007209488897578233,0.0034965034965034965,0.0,0.018691588785046728,0.012320082320082321,0.013923264711051304,0.006006006006006006,0.0,0.03636363636363636,15.2,18.988417522268676,1.0,0.0,46.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.05885792967520513,0.019484881281545154,0.06528923857651549,0.023434343434343436,0.08081039755351682,0.02222222222222222,0.04444444444444444,0.0,0.0,0.1111111111111111,0.0723404255319149,0.1446808510638298,0.0,0.0,0.3617021276595745,0.034,0.068,0.0,0.0,0.17,39.0,50.986272662354914,13.0,1.0,136.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,iforest,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.07363522062549183,0.010628928096945224,0.07651461838653957,0.05379409504449788,0.08504168943155094,0.04553253884070631,0.04451543063911035,0.031914893617021274,0.0,0.10483870967741936,0.019894254681488723,0.020481744722938594,0.01048951048951049,0.0,0.04642857142857143,0.027623384764105696,0.02805865242722299,0.015789473684210527,0.0,0.06435643564356436,44.8,46.837591739968865,20.0,1.0,111.0,1.4,64.0,42.8,False,True
TSB-UAD-Public-v2,iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.0648159957718066,0.022263399682085003,0.06928852873392313,0.026743173318305242,0.0874756585015886,0.06173963453733783,0.041924549897752884,0.05660377358490566,0.0,0.1111111111111111,0.0893315185510453,0.1370981874795854,0.028037383177570093,0.0,0.3617021276595745,0.05672689961124664,0.060435972237515956,0.031578947368421054,0.0,0.17,78.2,43.21296101865735,80.0,14.0,136.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.05885792967520513,0.019484881281545154,0.06528923857651549,0.023434343434343436,0.08081039755351682,0.02222222222222222,0.04444444444444444,0.0,0.0,0.1111111111111111,0.0723404255319149,0.1446808510638298,0.0,0.0,0.3617021276595745,0.034,0.068,0.0,0.0,0.17,39.0,50.986272662354914,13.0,1.0,136.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.06078206721131914,0.02557368816706522,0.06929196302446036,0.014126596033686498,0.08883758281469585,0.02847222222222222,0.043055555555555555,0.0,0.0,0.1111111111111111,0.07300267718754404,0.1443554219294197,0.0,0.0,0.3617021276595745,0.03519760479041916,0.0674410846827632,0.0,0.0,0.17,52.0,44.993332839433,41.0,2.0,136.0,88.4,3011.2,0.0,False,True
TSB-UAD-Public-v2,iforest,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4516066747486797,0.06687308396391076,0.43846696392817686,0.37034448782689067,0.5722780499706058,0.05238405102279692,0.01172913029232757,0.0523979348433235,0.03306312705453547,0.06975812381249402,0.034902744589887826,0.04005434309234169,0.007032843378577959,0.0,0.08812087957086115,0.002898550724637681,0.005797101449275362,0.0,0.0,0.014492753623188406,0.0007142857142857143,0.0014285714285714286,0.0,0.0,0.0035714285714285713,0.001146131805157593,0.0022922636103151865,0.0,0.0,0.0057306590257879654,22.4,28.160965892525773,1.0,0.0,68.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,5,5,0,5,oracle_val,validation_best_f1,0.5924842818182742,0.0468384982440753,0.6109950291328482,0.528852256770458,0.6545723601665083,0.09030357730310781,0.0496537800214782,0.07077208592411838,0.03879076361386463,0.18458679281988677,0.10487341184049834,0.01932608567091441,0.09516129032258064,0.0835142809420411,0.13155136268343814,0.07759485901095622,0.0447074611364529,0.05704697986577181,0.03723404255319149,0.15917602996254682,0.21437785783080426,0.18489969602510872,0.1588785046728972,0.023178807947019868,0.5319148936170213,0.09478438328627678,0.05972157972881483,0.08143322475570033,0.028571428571428574,0.2073170731707317,324.8,147.54850050068282,281.0,171.0,542.0,44.2,1505.6,0.0,False,True
TSB-UAD-Public-v2,internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,5,5,0,5,oracle_val,validation_best_f1,0.6068006751760062,0.04187126434455889,0.603623478021454,0.5497514904031682,0.6791872067813969,0.09905302014608376,0.05524507164874812,0.08394011172922144,0.03966852572967916,0.20402846115550183,0.10906672631396301,0.036716084884641315,0.1085811648079306,0.06818892711917422,0.15769712140175218,0.08116257578923515,0.05514838223425674,0.054441260744985676,0.02861952861952862,0.17913832199546487,0.22960215473477624,0.20351478110473367,0.17757009345794392,0.033112582781456956,0.5957446808510638,0.09342317045564923,0.06494702735491159,0.07588075880758807,0.03863636363636364,0.21914008321775313,403.8,202.35552871122647,362.0,87.0,663.0,1.4,64.0,42.8,False,True
