budget_label,labeled_fraction_values,detector,No Aug. F1,No Aug. FP,No Aug. P,No Aug. R,Random Aug. F1,Random Aug. FP,Random Aug. P,Random Aug. R,TES-Adaptive F1,TES-Adaptive FP,TES-Adaptive P,TES-Adaptive R,TES-Compatible F1,TES-Compatible FP,TES-Compatible P,TES-Compatible R,TES-All F1,TES-All FP,TES-All P,TES-All R,TES-Strict F1,TES-Strict FP,TES-Strict P,TES-Strict R,Best TES policy,Best TES F1,Best TES FP,Adaptive ? vs No,Adaptive ? vs Random,Best TES ? vs No,Best TES ? vs Random
10%,[0.1],internal_classifier,0.0590915299064866,184.2,0.1112225100480011,0.1482537449342496,0.0585572516475644,304.4,0.0597716017692561,0.1100413192135375,0.0442176162630551,176.6,0.0792542786199164,0.0980205130321409,0.04190466390053,168.2,0.081525641025641,0.1050613977550527,0.0442176162630551,176.6,0.0792542786199164,0.0980205130321409,0.0567603238599644,145.2,0.0968506865284705,0.1279212100603592,groupwise_compatibility_strict,0.0567603238599644,145.2,-0.014873913643431498,-0.014339635384509303,-0.002331206046522198,-0.0017969277876000028
10%,[0.1],lof,0.0303244396571681,79.6,0.0579329234006275,0.0468697260186621,0.0251353957716763,80.0,0.062471958124132,0.0430302211526672,0.0368790991953005,118.4,0.1384367453405965,0.0449871295210579,0.0368790991953005,118.4,0.1384367453405965,0.0449871295210579,0.0374710057362478,157.4,0.0464245983673547,0.0600878432359748,0.0366509052015459,115.8,0.0996480519980362,0.051401419490753,groupwise_cross_dataset_all,0.0374710057362478,157.4,0.006554659538132404,0.011743703423624203,0.007146566079079701,0.0123356099645715
10%,[0.1],ocsvm,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0025078369905956,7.8,0.0102564102564102,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,adaptive_groupwise_transfer,0.0022099447513812,16.4,0.0,-0.00029789223921440015,0.0,-0.00029789223921440015
10%,[0.1],timesnet,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0100799811808986,5.6,0.13125,0.0054405874499332,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,0.0078363914373088,1.2,0.175,0.0040120160213618,adaptive_groupwise_transfer,0.0078363914373088,1.2,0.0,-0.0022435897435898,0.0,-0.0022435897435898
lf020_dir,[0.1],autoencoder,0.001418439716312,0.6,0.1,0.0007142857142857,0.0465614488080643,165.4,0.0719993958335097,0.1450757713155804,0.0482845198546192,205.6,0.0450339355908976,0.1446338235475412,0.0480686438985827,159.4,0.1095589034807851,0.1382726962994194,0.0482845198546192,205.6,0.0450339355908976,0.1446338235475412,0.0230522166006036,98.4,0.0139779039248,0.1027899112300972,adaptive_groupwise_transfer,0.0482845198546192,205.6,0.046866080138307196,0.0017230710465548985,0.046866080138307196,0.0017230710465548985
lf020_dir,[0.1],cnn,0.0123200823200823,15.2,0.1563386524822695,0.0065804755991671,0.0411103762877213,216.2,0.1035765999772518,0.098176286827112,0.0297254229181455,164.8,0.024859127562421,0.0695228260537546,0.0229325531451336,180.0,0.0132891309495619,0.0838735335056671,0.0297254229181455,164.8,0.024859127562421,0.0695228260537546,0.0372890808164614,136.6,0.1662616107350217,0.0743100997864495,groupwise_compatibility_strict,0.0372890808164614,136.6,0.017405340598063198,-0.011384953369575804,0.0249689984963791,-0.0038212954712599015
lf020_dir,[0.1],iforest,0.0011461318051575,22.4,0.0028985507246376,0.0007142857142857,0.0367088036117381,80.2,0.0259032038173142,0.074483282674772,0.053187076602397,65.8,0.0504188798203566,0.0872336164531432,0.053187076602397,65.8,0.0504188798203566,0.0872336164531432,0.0227268996112466,48.6,0.0395174123151156,0.0169910930191304,0.0244654900272635,35.2,0.039149560117302,0.0177963525835866,adaptive_groupwise_transfer,0.053187076602397,65.8,0.0520409447972395,0.016478272990658897,0.0520409447972395,0.016478272990658897
lf020_dir,[0.1],internal_classifier,0.0590915299064866,184.2,0.1112225100480011,0.1482537449342496,0.0585572516475644,304.4,0.0597716017692561,0.1100413192135375,0.0442176162630551,176.6,0.0792542786199164,0.0980205130321409,0.04190466390053,168.2,0.081525641025641,0.1050613977550527,0.0442176162630551,176.6,0.0792542786199164,0.0980205130321409,0.0567603238599644,145.2,0.0968506865284705,0.1279212100603592,groupwise_compatibility_strict,0.0567603238599644,145.2,-0.014873913643431498,-0.014339635384509303,-0.002331206046522198,-0.0017969277876000028
lf020_dir,[0.1],lof,0.0303244396571681,79.6,0.0579329234006275,0.0468697260186621,0.0251353957716763,80.0,0.062471958124132,0.0430302211526672,0.0368790991953005,118.4,0.1384367453405965,0.0449871295210579,0.0368790991953005,118.4,0.1384367453405965,0.0449871295210579,0.0374710057362478,157.4,0.0464245983673547,0.0600878432359748,0.0366509052015459,115.8,0.0996480519980362,0.051401419490753,groupwise_cross_dataset_all,0.0374710057362478,157.4,0.006554659538132404,0.011743703423624203,0.007146566079079701,0.0123356099645715
lf020_dir,[0.1],ocsvm,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0025078369905956,7.8,0.0102564102564102,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,0.0022099447513812,16.4,0.0048780487804878,0.0014285714285714,adaptive_groupwise_transfer,0.0022099447513812,16.4,0.0,-0.00029789223921440015,0.0,-0.00029789223921440015
