detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,threshold,threshold_mode,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,split_seed
cnn,compatibility_strict,compatibility_strict,fixed_policy,False,159.50925115822525,synthetic_separation,0.00133694095177463,159.8762596865991,34001.362436571064,-33841.486176884464,0
cnn,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,94.54160606083337,synthetic_separation,0.061468175682691306,198179932.21752736,34001.362436571064,198145930.8550908,0
cnn,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,65.8642091940948,synthetic_separation,0.05709516679349027,123.92089289554951,34001.362436571064,-33877.441543675515,0
cnn,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,159.50925115822525,synthetic_separation,0.00133694095177463,159.8762596865991,34001.362436571064,-33841.486176884464,0
cnn,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,94.54160606083337,synthetic_separation,0.061468175682691306,198179932.21752736,34001.362436571064,198145930.8550908,0
timesnet,real_only,real_only,fixed_policy,False,229306.78622618245,synthetic_separation,,,40231.732033785214,,0
timesnet,random_event_oversampling,random_event_oversampling,fixed_policy,False,25571.927032748168,synthetic_separation,0.1106311829455204,654079025.0975875,40231.732033785214,654038793.3655537,0
timesnet,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.050413904037035585,5314524.109873352,40231.732033785214,5274292.377839566,0
timesnet,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.050413904037035585,3616.872878459586,40231.732033785214,-36614.85915532563,0
timesnet,compatibility_strict,compatibility_strict,fixed_policy,False,26355.04588118601,synthetic_separation,0.003911342894393742,26357.874701186473,40231.732033785214,-13873.857332598742,0
timesnet,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.050413904037035585,198110208.32470685,40231.732033785214,198069976.59267306,0
timesnet,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,24287.273948999773,synthetic_separation,0.12114488573330374,18448.218741354292,40231.732033785214,-21783.513292430922,0
timesnet,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,26355.04588118601,synthetic_separation,0.003911342894393742,26357.874701186473,40231.732033785214,-13873.857332598742,0
timesnet,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.0,synthetic_separation,0.050413904037035585,198110208.32470685,40231.732033785214,198069976.59267306,0
internal_classifier,real_only,real_only,fixed_policy,False,0.47454545454545455,oracle_val,0.1507782101167315,,,,1
internal_classifier,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.39410722571048606,oracle_val,0.11582441903356697,,,,1
internal_classifier,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.5231639209811022,oracle_val,0.11294462779611295,,,,1
internal_classifier,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.4722709858780679,oracle_val,0.10258964143426294,,,,1
internal_classifier,compatibility_strict,compatibility_strict,fixed_policy,False,0.5032384397565567,oracle_val,0.15776081424936386,,,,1
internal_classifier,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.3946744367743436,oracle_val,0.11278021724058239,,,,1
internal_classifier,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.42,oracle_val,0.13672922252010722,,,,1
internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.5032384397565567,oracle_val,0.15776081424936386,,,,1
internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.3946744367743436,oracle_val,0.11278021724058239,,,,1
iforest,real_only,real_only,fixed_policy,False,0.4817525578258622,synthetic_separation,,,0.348786838890103,,1
iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.3006500826367813,synthetic_separation,0.18283649503161697,0.31859463299016944,0.348786838890103,-0.030192205899933544,1
iforest,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.2998863527953221,synthetic_separation,0.08818607764390897,0.30220288427934094,0.348786838890103,-0.046583954610762035,1
iforest,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.2999204491767417,synthetic_separation,0.09461484663802577,0.326665292081503,0.348786838890103,-0.022121546808599957,1
iforest,compatibility_strict,compatibility_strict,fixed_policy,False,0.30028634392012915,synthetic_separation,0.0027111291853056797,0.30045478833983574,0.348786838890103,-0.048332050550267236,1
iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.2998863527953221,synthetic_separation,0.08818607764390897,0.30650166620354236,0.348786838890103,-0.042285172686560624,1
iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.2998863527953221,synthetic_separation,0.08265156282777428,0.30047454644174604,0.348786838890103,-0.04831229244835694,1
iforest,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.30028634392012915,synthetic_separation,0.0027111291853056797,0.30045478833983574,0.348786838890103,-0.048332050550267236,1
iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,0.2998863527953221,synthetic_separation,0.08265156282777428,0.30047454644174604,0.348786838890103,-0.04831229244835694,1
ocsvm,real_only,real_only,fixed_policy,False,0.3490633214251937,synthetic_separation,,,0.06386715655341062,,1
ocsvm,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.0,synthetic_separation,0.13616887867070748,21.89391662108222,0.06386715655341062,21.83004946452881,1
ocsvm,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.0009291252727052779,synthetic_separation,0.0771884432945235,0.0001453221028469047,0.06386715655341062,-0.06372183445056372,1
ocsvm,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,0.0,0.06386715655341062,-0.06386715655341062,1
ocsvm,compatibility_strict,compatibility_strict,fixed_policy,False,0.0,synthetic_separation,0.001208313194780087,0.0,0.06386715655341062,-0.06386715655341062,1
ocsvm,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.0009291252727052779,synthetic_separation,0.0776029316663074,0.00035460185388607406,0.06386715655341062,-0.06351255469952455,1
ocsvm,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,0.0,0.06386715655341062,-0.06386715655341062,1
ocsvm,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.0,synthetic_separation,0.001208313194780087,0.0,0.06386715655341062,-0.06386715655341062,1
ocsvm,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,0.0,synthetic_separation,0.07305859265489206,0.0,0.06386715655341062,-0.06386715655341062,1
lof,real_only,real_only,fixed_policy,False,17.126016318331153,synthetic_separation,,,6.250723224354754,,1
lof,random_event_oversampling,random_event_oversampling,fixed_policy,False,1.0136174530696362,synthetic_separation,0.1498983131953583,2.1147245661861453,6.250723224354754,-4.135998658168608,1
lof,cross_dataset_all,cross_dataset_all,fixed_policy,False,2.8328921415113246,synthetic_separation,0.10712861131688416,1859688.2035066432,6.250723224354754,1859681.9527834188,1
lof,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,2.732558370001305,synthetic_separation,0.1006204930404159,1859688.68067123,6.250723224354754,1859682.4299480056,1
lof,compatibility_strict,compatibility_strict,fixed_policy,False,3.323110842602168,synthetic_separation,0.0028935185185185184,3.5601112684602967,6.250723224354754,-2.6906119558944575,1
lof,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,2.8310122603272,synthetic_separation,0.10531114656940962,1859688.136408859,6.250723224354754,1859681.8856856346,1
lof,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,1.928207092110181,synthetic_separation,0.09032891507118311,1859688.3992117941,6.250723224354754,1859682.1484885698,1
lof,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,3.323110842602168,synthetic_separation,0.0028935185185185184,3.5601112684602967,6.250723224354754,-2.6906119558944575,1
lof,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,1.928207092110181,synthetic_separation,0.09032891507118311,1859688.3992117941,6.250723224354754,1859682.1484885698,1
autoencoder,real_only,real_only,fixed_policy,False,11441.446862879233,synthetic_separation,,,2008.4947195603636,,1
autoencoder,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.09115000105135902,synthetic_separation,0.17598126810031425,45427.4906415045,1926.6618911992762,43500.82875030522,1
autoencoder,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.014961561817300417,synthetic_separation,0.11949215832710978,0.07550992157927819,2091.5362964535716,-2091.460786531992,1
autoencoder,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.07946562727487233,synthetic_separation,0.11543386191273515,0.5357020481726695,2307.090719685531,-2306.555017637358,1
autoencoder,compatibility_strict,compatibility_strict,fixed_policy,False,0.06107444977848909,synthetic_separation,0.0031608060055314103,0.08531186617191752,1302.0101051140828,-1301.9247932479109,1
autoencoder,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.023808321193453788,synthetic_separation,0.1035260595987178,0.357843846248032,2296.783697428161,-2296.4258535819126,1
autoencoder,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.0018065175836031251,synthetic_separation,0.07305859265489206,0.024850528752623315,2123.7792707676163,-2123.7544202388635,1
autoencoder,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.06107444977848909,synthetic_separation,0.0031608060055314103,0.08531186617191752,1302.0101051140828,-1301.9247932479109,1
autoencoder,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.023808321193453788,synthetic_separation,0.1035260595987178,0.357843846248032,2296.783697428161,-2296.4258535819126,1
cnn,real_only,real_only,fixed_policy,False,969616.7881631606,synthetic_separation,,,168424.57556554177,,1
cnn,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.0,synthetic_separation,0.13616887867070748,43958807.554786704,168424.57556554177,43790382.979221165,1
cnn,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,671.3442201462162,168424.57556554177,-167753.23134539556,1
cnn,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,481.89412920473393,168424.57556554177,-167942.68143633704,1
cnn,compatibility_strict,compatibility_strict,fixed_policy,False,727.2675051452986,synthetic_separation,0.001343228449578562,730.0626481668194,168424.57556554177,-167694.51291737496,1
cnn,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,672.3918521386861,168424.57556554177,-167752.1837134031,1
cnn,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.0,synthetic_separation,0.07305859265489206,728.5492545045109,168424.57556554177,-167696.02631103728,1
cnn,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,727.2675051452986,synthetic_separation,0.001343228449578562,730.0626481668194,168424.57556554177,-167694.51291737496,1
cnn,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.0,synthetic_separation,0.07305859265489206,672.3918521386861,168424.57556554177,-167752.1837134031,1
timesnet,real_only,real_only,fixed_policy,False,768899.8376594579,synthetic_separation,,,135600.8103561093,,1
timesnet,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.0,synthetic_separation,0.13616887867070748,949007327.0209669,135600.8103561093,948871726.2106107,1
timesnet,cross_dataset_all,cross_dataset_all,fixed_policy,False,16809.349546215202,synthetic_separation,0.07626216005112547,15991.96373904286,135600.8103561093,-119608.84661706643,1
timesnet,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,16809.168595462823,synthetic_separation,0.07342185613860683,18288.860222587802,135600.8103561093,-117311.95013352149,1
timesnet,compatibility_strict,compatibility_strict,fixed_policy,False,36972.3070028295,synthetic_separation,0.004706436051300153,38219.07038085217,135600.8103561093,-97381.73997525711,1
timesnet,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,16809.23170244787,synthetic_separation,0.07455268389662027,15672.148291643723,135600.8103561093,-119928.66206446556,1
timesnet,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,16809.244745368323,synthetic_separation,0.12115331300249514,20932.53333090516,135600.8103561093,-114668.27702520412,1
timesnet,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,36972.3070028295,synthetic_separation,0.004706436051300153,38219.07038085217,135600.8103561093,-97381.73997525711,1
timesnet,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,16809.23170244787,synthetic_separation,0.07455268389662027,15672.148291643723,135600.8103561093,-119928.66206446556,1
internal_classifier,real_only,real_only,fixed_policy,False,0.4530615409654324,oracle_val,0.278169014084507,,,,2
internal_classifier,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.39,oracle_val,0.2728110599078341,,,,2
internal_classifier,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.4979566221896566,oracle_val,0.275178866263071,,,,2
internal_classifier,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.32616041370471677,oracle_val,0.15824085491163173,,,,2
internal_classifier,compatibility_strict,compatibility_strict,fixed_policy,False,0.42720443698169924,oracle_val,0.24022609514837495,,,,2
internal_classifier,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.48253281041089385,oracle_val,0.27385892116182575,,,,2
internal_classifier,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.3274773841465089,oracle_val,0.16305732484076432,,,,2
internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.42720443698169924,oracle_val,0.24022609514837495,,,,2
internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.48253281041089385,oracle_val,0.27385892116182575,,,,2
iforest,real_only,real_only,fixed_policy,False,0.6723634918855896,synthetic_separation,,,0.4219438670428544,,2
iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.29935769343746704,synthetic_separation,0.10909735768753324,0.31701639713569935,0.4219438670428544,-0.10492746990715507,2
iforest,cross_dataset_all,cross_dataset_all,fixed_policy,False,0.706595976860459,synthetic_separation,0.07092198581560284,0.3206110546667352,0.4219438670428544,-0.10133281237611924,2
iforest,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.29935769343746704,synthetic_separation,0.06496292671910874,0.29956789321982424,0.4219438670428544,-0.12237597382303017,2
